,AAPL,IBM,GOOG,XOM,Cash,Value
2011-01-10,1500.0,0.0,0.0,0.0,488515.0,1000000.0
2011-01-11,1500.0,0.0,0.0,0.0,488515.0,998785.0
2011-01-12,1500.0,0.0,0.0,0.0,488515.0,1002940.0
2011-01-13,0.0,4000.0,0.0,0.0,426615.0,1004815.0
2011-01-14,0.0,4000.0,0.0,0.0,426615.0,1009415.0
2011-01-18,0.0,4000.0,0.0,0.0,426615.0,1011935.0
2011-01-19,0.0,4000.0,0.0,0.0,426615.0,1031495.0
2011-01-20,0.0,4000.0,0.0,0.0,426615.0,1031935.0
2011-01-21,0.0,4000.0,0.0,0.0,426615.0,1030775.0
2011-01-24,0.0,4000.0,0.0,0.0,426615.0,1046815.0
2011-01-25,0.0,4000.0,0.0,0.0,426615.0,1053855.0
2011-01-26,0.0,4000.0,1000.0,0.0,-189885.0,1052295.0
2011-01-27,0.0,4000.0,1000.0,0.0,-189885.0,1052705.0
2011-01-28,0.0,4000.0,1000.0,0.0,-189885.0,1029665.0
2011-01-31,0.0,4000.0,1000.0,0.0,-189885.0,1039875.0
2011-02-01,0.0,4000.0,1000.0,0.0,-189885.0,1056635.0
2011-02-02,0.0,4000.0,1000.0,-4000.0,129955.0,1056595.0
2011-02-03,0.0,4000.0,1000.0,-4000.0,129955.0,1055505.0
2011-02-04,0.0,4000.0,1000.0,-4000.0,129955.0,1058775.0
2011-02-07,0.0,4000.0,1000.0,-4000.0,129955.0,1062765.0
2011-02-08,0.0,4000.0,1000.0,-4000.0,129955.0,1076175.0
2011-02-09,0.0,4000.0,1000.0,-4000.0,129955.0,1070495.0
2011-02-10,0.0,4000.0,1000.0,0.0,-190765.0,1065755.0
2011-02-11,0.0,4000.0,1000.0,0.0,-190765.0,1072855.0
2011-02-14,0.0,4000.0,1000.0,0.0,-190765.0,1074065.0
2011-02-15,0.0,4000.0,1000.0,0.0,-190765.0,1068585.0
2011-02-16,0.0,4000.0,1000.0,0.0,-190765.0,1070815.0
2011-02-17,0.0,4000.0,1000.0,0.0,-190765.0,1075135.0
2011-02-18,0.0,4000.0,1000.0,0.0,-190765.0,1082315.0
2011-02-22,0.0,4000.0,1000.0,0.0,-190765.0,1051165.0
2011-02-23,0.0,4000.0,1000.0,0.0,-190765.0,1045355.0
2011-02-24,0.0,4000.0,1000.0,0.0,-190765.0,1045175.0
2011-02-25,0.0,4000.0,1000.0,0.0,-190765.0,1052275.0
2011-02-28,0.0,4000.0,1000.0,0.0,-190765.0,1054075.0
2011-03-01,0.0,4000.0,1000.0,0.0,-190765.0,1033995.0
2011-03-02,0.0,4000.0,1000.0,0.0,-190765.0,1034745.0
2011-03-03,0.0,1800.0,0.0,0.0,769519.0,1056475.0
2011-03-04,0.0,1800.0,0.0,0.0,769519.0,1053577.0
2011-03-07,0.0,1800.0,0.0,0.0,769519.0,1050247.0
2011-03-08,0.0,1800.0,0.0,0.0,769519.0,1054369.0
2011-03-09,0.0,1800.0,0.0,0.0,769519.0,1060651.0
2011-03-10,0.0,1800.0,0.0,0.0,769519.0,1053919.0
2011-03-11,0.0,1800.0,0.0,0.0,769519.0,1054639.0
2011-03-14,0.0,1800.0,0.0,0.0,769519.0,1052803.0
2011-03-15,0.0,1800.0,0.0,0.0,769519.0,1048645.0
2011-03-16,0.0,1800.0,0.0,0.0,769519.0,1038079.0
2011-03-17,0.0,1800.0,0.0,0.0,769519.0,1040149.0
2011-03-18,0.0,1800.0,0.0,0.0,769519.0,1043155.0
2011-03-21,0.0,1800.0,0.0,0.0,769519.0,1046287.0
2011-03-22,0.0,1800.0,0.0,0.0,769519.0,1046863.0
2011-03-23,0.0,1800.0,0.0,0.0,769519.0,1049545.0
