Date,Symbol,Order,Shares
2008-02-28 00:00:00,IBM,SELL,100
2008-03-27 00:00:00,IBM,BUY,100
2008-04-22 00:00:00,IBM,SELL,100
2008-05-21 00:00:00,IBM,BUY,100
2008-07-01 00:00:00,IBM,BUY,100
2008-07-08 00:00:00,IBM,SELL,100
2008-07-21 00:00:00,IBM,SELL,100
2008-08-11 00:00:00,IBM,BUY,100
2008-08-21 00:00:00,IBM,BUY,100
2008-09-19 00:00:00,IBM,SELL,100
2008-10-10 00:00:00,IBM,BUY,100
2008-10-30 00:00:00,IBM,SELL,100
2008-11-21 00:00:00,IBM,BUY,100
2008-12-03 00:00:00,IBM,SELL,100
2009-01-07 00:00:00,IBM,SELL,100
2009-01-14 00:00:00,IBM,BUY,100
2009-01-22 00:00:00,IBM,SELL,100
2009-02-17 00:00:00,IBM,BUY,100
2009-02-24 00:00:00,IBM,BUY,100
2009-02-27 00:00:00,IBM,SELL,100
2009-03-25 00:00:00,IBM,SELL,100
2009-04-27 00:00:00,IBM,BUY,100
2009-04-30 00:00:00,IBM,SELL,100
2009-05-08 00:00:00,IBM,BUY,100
2009-06-02 00:00:00,IBM,SELL,100
2009-06-18 00:00:00,IBM,BUY,100
2009-07-08 00:00:00,IBM,BUY,100
2009-07-15 00:00:00,IBM,SELL,100
2009-07-22 00:00:00,IBM,SELL,100
2009-08-17 00:00:00,IBM,BUY,100
2009-09-03 00:00:00,IBM,BUY,100
2009-09-11 00:00:00,IBM,SELL,100
2009-09-18 00:00:00,IBM,SELL,100
2009-09-29 00:00:00,IBM,BUY,100
2009-10-15 00:00:00,IBM,SELL,100
2009-10-16 00:00:00,IBM,BUY,100
2009-12-14 00:00:00,IBM,SELL,100
2009-12-17 00:00:00,IBM,BUY,100
2009-12-29 00:00:00,IBM,SELL,100
